id,verein,ist_angekommen,zufriedenheit_1,zufriedenheit_2,zufriedenheit_3,zufriedenheit_4,zufriedenheit_5,action,y
2,Club B,False,-1,-1,-1,100,91,ENTRY,92
15,Club A,False,-1,-1,-1,100,97,ENTRY,98
27,Club B,False,-1,-1,-1,100,91,ENTRY,92
32,Club B,False,-1,-1,-1,100,91,ENTRY,92
37,Neutral,False,-1,-1,-1,100,94,ENTRY,95
38,Neutral,False,-1,-1,-1,100,94,ENTRY,95
41,Club B,False,-1,-1,-1,100,91,ENTRY,92
45,Neutral,False,-1,-1,-1,100,94,ENTRY,95
55,Club A,False,-1,-1,-1,100,97,ENTRY,98
57,Club B,False,-1,-1,-1,100,91,ENTRY,92
59,Club A,False,-1,-1,-1,100,97,ENTRY,98
64,Club A,False,-1,-1,-1,100,97,ENTRY,98
66,Club A,False,-1,-1,-1,100,97,ENTRY,98
70,Club A,False,-1,-1,-1,100,97,ENTRY,98
72,Club B,False,-1,-1,-1,100,91,ENTRY,92
77,Club B,False,-1,-1,-1,100,91,ENTRY,92
87,Club A,False,-1,-1,-1,100,97,ENTRY,98
92,Club B,False,-1,-1,-1,100,91,ENTRY,92
95,Neutral,False,-1,-1,-1,100,94,ENTRY,95
98,Club A,False,-1,-1,-1,100,97,ENTRY,98
0,Club B,False,-1,-1,-1,100,91,WAITING,85
1,Club A,False,-1,-1,-1,100,97,WAITING,95
3,Club B,False,-1,-1,-1,100,91,WAITING,85
4,Neutral,False,-1,-1,-1,100,94,WAITING,90
5,Club B,False,-1,-1,-1,100,91,WAITING,85
6,Neutral,False,-1,-1,-1,100,94,WAITING,90
7,Club A,False,-1,-1,-1,100,97,WAITING,95
8,Club B,False,-1,-1,-1,100,91,WAITING,85
9,Neutral,False,-1,-1,-1,100,94,WAITING,90
10,Club B,False,-1,-1,-1,100,91,WAITING,85
11,Club B,False,-1,-1,-1,100,91,WAITING,85
12,Neutral,False,-1,-1,-1,100,94,WAITING,90
13,Club B,False,-1,-1,-1,100,91,WAITING,85
14,Neutral,False,-1,-1,-1,100,94,WAITING,90
16,Club B,False,-1,-1,-1,100,91,WAITING,85
17,Club A,False,-1,-1,-1,100,97,WAITING,95
18,Club B,False,-1,-1,-1,100,91,WAITING,85
19,Neutral,False,-1,-1,-1,100,94,WAITING,90
20,Neutral,False,-1,-1,-1,100,94,WAITING,90
21,Neutral,False,-1,-1,-1,100,94,WAITING,90
22,Club B,False,-1,-1,-1,100,91,WAITING,85
23,Club A,False,-1,-1,-1,100,97,WAITING,95
24,Neutral,False,-1,-1,-1,100,94,WAITING,90
25,Club B,False,-1,-1,-1,100,91,WAITING,85
26,Club A,False,-1,-1,-1,100,97,WAITING,95
28,Neutral,False,-1,-1,-1,100,94,WAITING,90
29,Neutral,False,-1,-1,-1,100,94,WAITING,90
30,Neutral,False,-1,-1,-1,100,94,WAITING,90
31,Club B,False,-1,-1,-1,100,91,WAITING,85
33,Club A,False,-1,-1,-1,100,97,WAITING,95
34,Neutral,False,-1,-1,-1,100,94,WAITING,90
35,Club A,False,-1,-1,-1,100,97,WAITING,95
36,Club A,False,-1,-1,-1,100,97,WAITING,95
39,Club A,False,-1,-1,-1,100,97,WAITING,95
40,Club B,False,-1,-1,-1,100,91,WAITING,85
42,Club A,False,-1,-1,-1,100,97,WAITING,95
43,Neutral,False,-1,-1,-1,100,94,WAITING,90
44,Club A,False,-1,-1,-1,100,97,WAITING,95
46,Club B,False,-1,-1,-1,100,91,WAITING,85
47,Club A,False,-1,-1,-1,100,97,WAITING,95
48,Club A,False,-1,-1,-1,100,97,WAITING,95
49,Club B,False,-1,-1,-1,100,91,WAITING,85
50,Club B,False,-1,-1,-1,100,91,WAITING,85
51,Club B,False,-1,-1,-1,100,91,WAITING,85
52,Club A,False,-1,-1,-1,100,97,WAITING,95
53,Neutral,False,-1,-1,-1,100,94,WAITING,90
54,Neutral,False,-1,-1,-1,100,94,WAITING,90
56,Club A,False,-1,-1,-1,100,97,WAITING,95
58,Neutral,False,-1,-1,-1,100,94,WAITING,90
60,Club A,False,-1,-1,-1,100,97,WAITING,95
61,Club A,False,-1,-1,-1,100,97,WAITING,95
62,Club B,False,-1,-1,-1,100,91,WAITING,85
63,Club A,False,-1,-1,-1,100,97,WAITING,95
65,Club A,False,-1,-1,-1,100,97,WAITING,95
67,Club A,False,-1,-1,-1,100,97,WAITING,95
